t,M1,M2,OPC
10/03/2016 14:18,13.32,12.85,7.948971831
10/03/2016 14:19,12.73,14.44,8.593211268
10/03/2016 14:19,10.8,14.3,8.486760563
10/03/2016 14:20,11.27,14.3,8.968957746
10/03/2016 14:21,10.7,14.49,8.10628169
10/03/2016 14:21,8.34,18.86,7.09684507
10/03/2016 14:22,10.86,16.24,7.031225352
10/03/2016 14:23,10.47,14.54,7.712492958
10/03/2016 14:23,9.72,14.59,7.182676056
10/03/2016 14:24,12.65,13.35,7.47928169
10/03/2016 14:25,13.2,13.4,7.737549296
10/03/2016 14:25,12.17,14.1,7.663183099
10/03/2016 14:26,10.44,12.46,7.699633803
10/03/2016 14:27,10.9,19.55,7.283535211
10/03/2016 14:28,9.87,17.53,7.884140845
10/03/2016 14:29,11.66,13.79,7.257323944
10/03/2016 14:29,11.55,14.85,7.618591549
10/03/2016 14:30,10.42,14.3,7.673014085
10/03/2016 14:31,10.22,13.36,7.27784507
10/03/2016 14:32,9.36,15.56,7.287676056
10/03/2016 14:32,10.03,14.88,6.980056338
10/03/2016 14:33,9.83,14.05,7.460394366
10/03/2016 14:34,11.5,14.92,7.574309859
10/03/2016 14:34,14.53,12.91,8.47228169
10/03/2016 14:35,9.88,12.4,8.187633803
10/03/2016 14:36,12.43,14.64,7.408450704
10/03/2016 14:36,11.17,14.96,7.459295775
10/03/2016 14:37,12.84,17.97,7.964971831
10/03/2016 14:38,13.76,15.32,9.235507042
10/03/2016 14:38,15.61,14.92,9.892901408
10/03/2016 14:39,15.96,15.4,10.68294366
10/03/2016 14:40,15.59,17.93,11.45742254
10/03/2016 14:40,15.38,17.98,10.97974648
10/03/2016 14:41,17.31,20.08,11.44509859
10/03/2016 14:42,17.55,16.33,11.70357746
10/03/2016 14:42,14.12,18.06,11.59685915
10/03/2016 14:43,13.56,28.43,11.65173239
10/03/2016 14:44,15.59,22.27,11.53357746
10/03/2016 14:44,16.36,19.08,11.51230986
10/03/2016 14:45,17.31,19.44,12.06867606
10/03/2016 14:46,16.37,18.8,11.97815493
10/03/2016 14:46,13.81,21.34,11.30526761
10/03/2016 14:47,17,22.63,10.67923944
10/03/2016 14:48,14.22,20.24,11.7093662
10/03/2016 14:48,15,19.23,11.14395775
10/03/2016 14:49,17.97,20.87,11.98333803
10/03/2016 14:50,16.21,20.64,13.42939437
10/03/2016 14:51,16.75,17.9,12.94583099
10/03/2016 14:52,17.16,24.23,12.65209859
10/03/2016 14:52,17.12,19.26,12.80402817
10/03/2016 14:53,15.93,21.18,12.23046479
10/03/2016 14:54,14.34,21.6,11.91221127
